Sample,Ntotal,NisGood,isGoodfrac,nEBEB,nEBEEorEEEB,nEEEE,npTcut
RSGravitonToGammaGamma_kMpl01_M_3000,76326,67632,0.886094,57488,8558,1229,67632
RSGravitonToGammaGamma_kMpl01_M_5000,77228,69372,0.898275,65118,3413,653,69372
RSGravitonToGammaGamma_kMpl01_M_2500,73804,65091,0.881944,53180,10294,1254,65091
RSGravitonToGammaGamma_kMpl01_M_4250,79273,70718,0.892082,64638,5059,779,70718
RSGravitonToGammaGamma_kMpl01_M_4750,80211,72059,0.898368,67014,4122,697,72059
RSGravitonToGammaGamma_kMpl01_M_1250,66793,58189,0.871184,38980,17215,1553,58189
RSGravitonToGammaGamma_kMpl01_M_4500,78700,70518,0.896036,65113,4435,740,70518
RSGravitonToGammaGamma_kMpl01_M_6500,81650,73871,0.904727,71310,1859,570,73871
RSGravitonToGammaGamma_kMpl01_M_750,63565,54647,0.859703,32854,19874,1444,54647
RSGravitonToGammaGamma_kMpl01_M_1500,67054,58544,0.873087,41425,15217,1427,58544
RSGravitonToGammaGamma_kMpl01_M_5750,81181,73313,0.903081,69948,2657,537,73313
RSGravitonToGammaGamma_kMpl01_M_6000,81285,73464,0.903783,70406,2356,557,73464
RSGravitonToGammaGamma_kMpl01_M_7000,77175,69989,0.906887,67921,1416,521,69989
